suite	benchmark	config	result	time
smt-comp	wienand-cav2008_Commute_commute32.sf	no_vanishing	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute32.sf	no_tree_walk	unsat	0.01
smt-comp	20230321-UltimateAutomizerSvcomp2023_geo3.c_5	no_algebraic	TO	60.01
smt-comp	wienand-cav2008_Commute_commute32.sf	no_interreduce	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute32.sf	no_nonzero_fast	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute08.sf	no_tseitin	TO	60.01
smt-comp	wienand-cav2008_Commute_commute32.sf	no_if_case_elim	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute32.sf	reverse_order	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute32.sf	no_defer_bitblast	unsat	0.10
smt-comp	wienand-cav2008_Distrib_distrib08.sf	full	unsat	0.01
smt-comp	wienand-cav2008_Distrib_distrib08.sf	no_vanishing	unsat	0.01
smt-comp	wienand-cav2008_Distrib_distrib08.sf	no_tree_walk	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute08.sf	no_algebraic	TO	60.01
smt-comp	wienand-cav2008_Distrib_distrib08.sf	no_interreduce	unsat	0.01
smt-comp	wienand-cav2008_Distrib_distrib08.sf	no_nonzero_fast	unsat	0.01
smt-comp	wienand-cav2008_Distrib_distrib08.sf	no_if_case_elim	unsat	0.01
smt-comp	wienand-cav2008_Distrib_distrib08.sf	no_defer_bitblast	unsat	0.01
smt-comp	wienand-cav2008_Distrib_distrib08.sf	reverse_order	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute16.sf	no_tseitin	TO	60.01
saber	saber-n128-bw13-c0	full	unsat	1.91
saber	saber-n128-bw13-c0	no_vanishing	unsat	1.93
saber	saber-n128-bw13-c0	no_tree_walk	unsat	1.92
saber	saber-n128-bw13-c0	no_tseitin	unsat	1.91
saber	saber-n128-bw13-c0	no_interreduce	unsat	1.91
saber	saber-n128-bw13-c0	no_nonzero_fast	unsat	2.92
saber	saber-n128-bw13-c0	no_if_case_elim	unsat	2.96
saber	saber-n128-bw13-c0	no_defer_bitblast	unsat	21.74
saber	saber-n128-bw13-c0	reverse_order	unsat	2.75
smt-comp	wienand-cav2008_Commute_commute16.sf	no_algebraic	TO	60.01
saber	saber-n16-bw13-c0	full	unsat	0.02
saber	saber-n16-bw13-c0	no_vanishing	unsat	0.02
saber	saber-n16-bw13-c0	no_tree_walk	unsat	0.02
saber	saber-n16-bw13-c0	no_tseitin	unsat	0.02
saber	saber-n16-bw13-c0	no_interreduce	unsat	0.02
saber	saber-n16-bw13-c0	no_nonzero_fast	unsat	0.02
saber	saber-n16-bw13-c0	no_if_case_elim	unsat	0.02
saber	saber-n16-bw13-c0	no_defer_bitblast	unsat	0.29
saber	saber-n16-bw13-c0	reverse_order	unsat	0.02
smt-comp	wienand-cav2008_Commute_commute32.sf	no_tseitin	TO	60.01
smt-comp	wienand-cav2008_Commute_commute32.sf	no_algebraic	TO	60.01
smt-comp	wienand-cav2008_Distrib_distrib08.sf	no_tseitin	TO	60.01
random-poly	bitwidth-16-degree-13-seed-23-multiplication-reduced-native-encoding	full	unsat	0.33
random-poly	bitwidth-16-degree-13-seed-23-multiplication-reduced-native-encoding	no_tree_walk	unsat	0.33
random-poly	bitwidth-16-degree-13-seed-23-multiplication-reduced-native-encoding	no_tseitin	unsat	0.33
random-poly	bitwidth-16-degree-13-seed-23-multiplication-reduced-native-encoding	no_interreduce	unsat	0.32
random-poly	bitwidth-16-degree-13-seed-23-multiplication-reduced-native-encoding	no_nonzero_fast	unsat	0.32
random-poly	bitwidth-16-degree-13-seed-23-multiplication-reduced-native-encoding	no_if_case_elim	unsat	0.32
random-poly	bitwidth-16-degree-13-seed-23-multiplication-reduced-native-encoding	no_defer_bitblast	unsat	0.33
random-poly	bitwidth-16-degree-13-seed-23-multiplication-reduced-native-encoding	reverse_order	unsat	0.32
smt-comp	wienand-cav2008_Distrib_distrib08.sf	no_algebraic	TO	60.01
random-poly	bitwidth-32-degree-19-seed-23-multiplication-reduced-native-encoding	full	unsat	3.96
random-poly	bitwidth-32-degree-19-seed-23-multiplication-reduced-native-encoding	no_tree_walk	unsat	3.93
random-poly	bitwidth-32-degree-19-seed-23-multiplication-reduced-native-encoding	no_tseitin	unsat	3.97
random-poly	bitwidth-32-degree-19-seed-23-multiplication-reduced-native-encoding	no_interreduce	unsat	3.94
random-poly	bitwidth-32-degree-19-seed-23-multiplication-reduced-native-encoding	no_nonzero_fast	unsat	3.93
random-poly	bitwidth-32-degree-19-seed-23-multiplication-reduced-native-encoding	no_if_case_elim	unsat	3.96
random-poly	bitwidth-32-degree-19-seed-23-multiplication-reduced-native-encoding	no_defer_bitblast	unsat	3.97
random-poly	bitwidth-32-degree-19-seed-23-multiplication-reduced-native-encoding	reverse_order	unsat	4.03
saber	saber-n128-bw13-c0	no_algebraic	TO	46.14
saber	saber-n16-bw13-c0	no_algebraic	TO	60.02
random-poly	bitwidth-16-degree-13-seed-23-multiplication-reduced-native-encoding	no_vanishing	TO	60.01
random-poly	bitwidth-16-degree-13-seed-23-multiplication-reduced-native-encoding	no_algebraic	TO	60.02
random-poly	bitwidth-32-degree-19-seed-23-multiplication-reduced-native-encoding	no_vanishing	TO	60.08
random-poly	bitwidth-32-degree-19-seed-23-multiplication-reduced-native-encoding	no_algebraic	TO	60.21
random-poly	bitwidth-16-degree-23-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	full	TO	60.02
random-poly	bitwidth-16-degree-23-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	no_vanishing	TO	60.02
random-poly	bitwidth-16-degree-23-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	no_tree_walk	TO	60.02
random-poly	bitwidth-16-degree-23-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	no_tseitin	TO	60.02
random-poly	bitwidth-16-degree-23-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	no_interreduce	TO	60.02
random-poly	bitwidth-16-degree-23-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	no_nonzero_fast	TO	60.02
random-poly	bitwidth-16-degree-23-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	no_if_case_elim	TO	60.02
random-poly	bitwidth-16-degree-23-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	no_defer_bitblast	TO	60.02
random-poly	bitwidth-16-degree-23-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	reverse_order	TO	60.02
random-poly	bitwidth-16-degree-23-seed-23-correctness-original-native-encoding-vs-original-subpolynomial-encoding	no_algebraic	TO	60.03
