repo,proof,backend,result,exit_code,wall_time_s,max_rss_kb
mldsa-native,poly_uniform,smt,SUCCESS,0,1.64,85800
mldsa-native,poly_uniform,sat_cadical,SUCCESS,0,91.3,2623092
mldsa-native,poly_uniform,sat_minisat,SUCCESS,0,13.87,865832
mldsa-native,poly_uniform_4x,smt,SUCCESS,0,12.75,543840
mldsa-native,poly_uniform_4x,sat_cadical,TIMEOUT,124,300.47,9917068
mldsa-native,poly_uniform_4x,sat_minisat,SUCCESS,0,69.21,3543824
mldsa-native,poly_uniform_eta,smt,SUCCESS,0,2.39,150800
mldsa-native,poly_uniform_eta,sat_cadical,SUCCESS,0,89.16,2766192
mldsa-native,poly_uniform_eta,sat_minisat,SUCCESS,0,15.92,941456
mldsa-native,poly_uniform_eta_4x,smt,SUCCESS,0,14.31,536284
mldsa-native,poly_uniform_eta_4x,sat_cadical,TIMEOUT,124,300.43,9880532
mldsa-native,poly_uniform_eta_4x,sat_minisat,SUCCESS,0,77.21,3447004
mldsa-native,poly_uniform_gamma1,smt,SUCCESS,0,1.13,77704
mldsa-native,poly_uniform_gamma1,sat_cadical,SUCCESS,0,5.59,359288
mldsa-native,poly_uniform_gamma1,sat_minisat,SUCCESS,0,3.93,166580
mldsa-native,poly_uniform_gamma1_4x,smt,SUCCESS,0,1.49,100356
mldsa-native,poly_uniform_gamma1_4x,sat_cadical,SUCCESS,0,25.68,701312
mldsa-native,poly_uniform_gamma1_4x,sat_minisat,SUCCESS,0,14.9,290196
mldsa-native,poly_use_hint,smt,SUCCESS,0,0.37,49464
mldsa-native,poly_use_hint,sat_cadical,SUCCESS,0,9.86,325180
mldsa-native,poly_use_hint,sat_minisat,SUCCESS,0,1.35,124260
mldsa-native,poly_use_hint_c,smt,SUCCESS,0,0.51,47592
mldsa-native,poly_use_hint_c,sat_cadical,SUCCESS,0,28.59,793548
mldsa-native,poly_use_hint_c,sat_minisat,SUCCESS,0,3.72,274592
mldsa-native,poly_use_hint_native,smt,SUCCESS,0,0.63,70984
mldsa-native,poly_use_hint_native,sat_cadical,SUCCESS,0,28.41,910588
mldsa-native,poly_use_hint_native,sat_minisat,SUCCESS,0,4.71,299552
mldsa-native,polyeta_pack,smt,SUCCESS,0,0.26,45172
mldsa-native,polyeta_pack,sat_cadical,SUCCESS,0,4.72,194156
mldsa-native,polyeta_pack,sat_minisat,SUCCESS,0,2.06,94844
mldsa-native,polyeta_unpack,smt,SUCCESS,0,2.47,46532
mldsa-native,polyeta_unpack,sat_cadical,SUCCESS,0,14.86,571272
mldsa-native,polyeta_unpack,sat_minisat,SUCCESS,0,2.26,194116
mldsa-native,polymat_permute_bitrev_to_custom,smt,SUCCESS,0,74.29,755152
mldsa-native,polymat_permute_bitrev_to_custom,sat_cadical,TIMEOUT,124,300.38,6226024
mldsa-native,polymat_permute_bitrev_to_custom,sat_minisat,TIMEOUT,124,300.33,4526964
mldsa-native,polymat_permute_bitrev_to_custom,smt_afs,SUCCESS,0,7.15,562200
mldsa-native,polymat_permute_bitrev_to_custom,sat_cadical_afs,TIMEOUT,124,300.36,6234648
mldsa-native,polyt0_pack,smt,SUCCESS,0,1.75,60576
mldsa-native,polyt0_pack,sat_cadical,SUCCESS,0,13.14,633840
mldsa-native,polyt0_pack,sat_minisat,SUCCESS,0,4.73,223324
mldsa-native,polyt0_unpack,smt,SUCCESS,0,11.14,74068
mldsa-native,polyt0_unpack,sat_cadical,SUCCESS,0,44.16,1431768
mldsa-native,polyt0_unpack,sat_minisat,SUCCESS,0,6.65,443336
mldsa-native,polyt1_pack,smt,SUCCESS,0,0.49,48224
mldsa-native,polyt1_pack,sat_cadical,SUCCESS,0,2.72,278816
mldsa-native,polyt1_pack,sat_minisat,SUCCESS,0,1.18,107148
mldsa-native,polyt1_unpack,smt,SUCCESS,0,0.46,47596
mldsa-native,polyt1_unpack,sat_cadical,SUCCESS,0,10.1,589128
mldsa-native,polyt1_unpack,sat_minisat,SUCCESS,0,2.53,210784
mldsa-native,polyvec_matrix_expand,smt,SUCCESS,0,112.7,2045812
mldsa-native,polyvec_matrix_expand,sat_cadical,OOM,6,115.53,29963040
mldsa-native,polyvec_matrix_expand,sat_minisat,TIMEOUT,124,300.97,13605888
mldsa-native,polyvec_matrix_expand_serial,smt,SUCCESS,0,51.28,1059108
mldsa-native,polyvec_matrix_expand_serial,sat_cadical,OOM,6,126.01,29856652
mldsa-native,polyvec_matrix_expand_serial,sat_minisat,TIMEOUT,124,300.87,13190412
mldsa-native,polyvec_matrix_pointwise_montgomery,smt,SUCCESS,0,14.17,546700
mldsa-native,polyvec_matrix_pointwise_montgomery,sat_cadical,TIMEOUT,124,300.7,15201348
mldsa-native,polyvec_matrix_pointwise_montgomery,sat_minisat,TIMEOUT,124,300.33,5529040
mldsa-native,polyveck_add,smt,SUCCESS,0,5.21,283756
mldsa-native,polyveck_add,sat_cadical,TIMEOUT,124,300.53,11813132
mldsa-native,polyveck_add,sat_minisat,TIMEOUT,124,300.23,4029008
mldsa-native,polyveck_caddq,smt,SUCCESS,0,4.59,217096
