# Item 7 (expression normalisation) ablation on Martin's benchmarks.
# Same stratified random sample as martin-subpoly-results.md.
# Time in seconds; T/O = 10 s
benchmark	default	expr_norm
bitwidth-32-degree-2-seed-23-root-finding-reduced-native-encoding	0.01	0.01
bitwidth-32-degree-6-seed-23-root-finding-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-8-seed-23-root-finding-reduced-subpolynomial-encoding	1.56	1.56
bitwidth-32-degree-21-seed-23-root-finding-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-7-seed-23-root-finding-reduced-subpolynomial-encoding	1.40	1.40
bitwidth-8-degree-13-seed-23-root-finding-reduced-subpolynomial-encoding	0.06	0.06
bitwidth-32-degree-34-seed-42-identity-point-original-native-encoding	T/O	T/O
bitwidth-64-degree-7-seed-42-identity-point-original-native-encoding	0.39	0.39
bitwidth-32-degree-36-seed-42-identity-point-original-native-encoding	2.67	2.68
bitwidth-32-degree-46-seed-42-identity-point-original-native-encoding	4.35	4.36
bitwidth-16-degree-14-seed-42-identity-point-original-native-encoding	0.87	0.87
bitwidth-16-degree-30-seed-42-identity-point-original-subpolynomial-encoding	6.00	5.99
bitwidth-32-degree-54-seed-42-identity-point-original-subpolynomial-encoding	T/O	T/O
bitwidth-8-degree-3-seed-42-identity-point-original-subpolynomial-encoding	0.01	0.01
bitwidth-32-degree-5-seed-42-identity-point-original-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-40-seed-42-identity-point-original-subpolynomial-encoding	T/O	T/O
bitwidth-64-degree-16-seed-42-identity-point-reduced-native-encoding	2.18	2.19
bitwidth-16-degree-22-seed-42-identity-point-reduced-native-encoding	1.49	1.50
bitwidth-16-degree-3-seed-42-identity-point-reduced-native-encoding	0.04	0.04
bitwidth-32-degree-53-seed-42-identity-point-reduced-native-encoding	T/O	T/O
bitwidth-32-degree-10-seed-42-identity-point-reduced-native-encoding	0.19	0.19
bitwidth-16-degree-10-seed-42-identity-point-reduced-subpolynomial-encoding	2.75	2.77
bitwidth-32-degree-44-seed-42-identity-point-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-24-seed-42-identity-point-reduced-subpolynomial-encoding	5.59	5.53
bitwidth-32-degree-59-seed-42-identity-point-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-2-seed-42-identity-point-reduced-subpolynomial-encoding	0.02	0.02
bitwidth-16-degree-22-seed-42-root-finding-original-native-encoding	0.30	0.30
bitwidth-32-degree-23-seed-42-root-finding-original-native-encoding	1.43	1.43
bitwidth-32-degree-41-seed-42-root-finding-original-native-encoding	5.22	5.28
bitwidth-32-degree-64-seed-42-root-finding-original-native-encoding	T/O	T/O
bitwidth-16-degree-29-seed-42-root-finding-original-native-encoding	0.54	0.54
bitwidth-16-degree-24-seed-42-root-finding-original-subpolynomial-encoding	5.47	5.60
bitwidth-32-degree-50-seed-42-root-finding-original-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-6-seed-42-root-finding-original-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-52-seed-42-root-finding-original-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-4-seed-42-root-finding-original-subpolynomial-encoding	0.37	0.37
bitwidth-32-degree-37-seed-42-root-finding-reduced-native-encoding	2.75	2.67
bitwidth-32-degree-40-seed-42-root-finding-reduced-native-encoding	3.37	3.34
bitwidth-32-degree-2-seed-42-root-finding-reduced-native-encoding	0.01	0.01
bitwidth-32-degree-35-seed-42-root-finding-reduced-native-encoding	3.11	3.11
bitwidth-32-degree-53-seed-42-root-finding-reduced-native-encoding	2.71	2.71
bitwidth-32-degree-12-seed-42-root-finding-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-33-seed-42-root-finding-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-64-degree-15-seed-42-root-finding-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-17-seed-42-root-finding-reduced-subpolynomial-encoding	5.20	5.15
bitwidth-32-degree-44-seed-42-root-finding-reduced-subpolynomial-encoding	T/O	T/O
