# Multiplication encoding benchmark results
# Date: 2026-04-23T11:16:11+00:00
# Machine: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz
# Memory: 68Gi
# OS: Ubuntu 24.04.4 LTS
# GCC: gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# CBMC: 6.8.0 (cbmc-6.8.0-250-g3db825a832-dirty)
# Runs: 3 (median), Timeout: 120s, Memlimit: 5GB, Jobs: 8
# Solvers: CaDiCaL 3.0.0, MiniSat 2.2.1, CryptoMiniSat 5.11.21
# Mul encodings: shift-add dadda comba comba-cs
# Adder encodings: ripple brent-kung g-only
# MergeSat: available (cbmc)
# MergeSat: available (smt2_solver)
#
suite	solver	mul_enc	adder_enc	benchmark	time
smt2	minisat	comba	brent-kung	bf16_mul_comm	.026050
smt2	minisat	comba	g-only	bf16_mul_comm	.025689
smt2	minisat	comba	ripple	bf16_mul_comm	.025871
smt2	minisat	comba-cs	brent-kung	bf16_mul_comm	.041136
smt2	minisat	comba-cs	g-only	bf16_mul_comm	.041182
smt2	minisat	comba-cs	ripple	bf16_mul_comm	.040619
smt2	minisat	dadda	brent-kung	bf16_mul_comm	.032223
smt2	minisat	dadda	g-only	bf16_mul_comm	.032782
smt2	minisat	dadda	ripple	bf16_mul_comm	.032049
smt2	minisat	shift-add	brent-kung	bf16_mul_comm	.045048
smt2	minisat	shift-add	g-only	bf16_mul_comm	.045623
smt2	minisat	shift-add	ripple	bf16_mul_comm	.045074
smt2	cadical	comba	brent-kung	bf16_mul_comm_v2	10.676834
smt2	cadical	comba	g-only	bf16_mul_comm_v2	10.759950
smt2	cadical	comba	ripple	bf16_mul_comm_v2	10.671367
smt2	cadical	comba-cs	brent-kung	bf16_mul_comm_v2	11.274796
smt2	cadical	comba-cs	g-only	bf16_mul_comm_v2	11.259197
smt2	cadical	comba-cs	ripple	bf16_mul_comm_v2	11.304746
smt2	cadical	dadda	brent-kung	bf16_mul_comm_v2	28.428313
smt2	cadical	dadda	g-only	bf16_mul_comm_v2	28.453243
smt2	cadical	dadda	ripple	bf16_mul_comm_v2	28.890409
smt2	cadical	shift-add	brent-kung	bf16_mul_comm_v2	23.438282
smt2	cadical	shift-add	g-only	bf16_mul_comm_v2	23.508741
smt2	cadical	shift-add	ripple	bf16_mul_comm_v2	23.385090
smt2	cryptominisat	comba	brent-kung	bf16_mul_comm_v2	44.870573
smt2	cryptominisat	comba	g-only	bf16_mul_comm_v2	45.761146
smt2	cryptominisat	comba	ripple	bf16_mul_comm_v2	44.714654
smt2	cryptominisat	comba-cs	brent-kung	bf16_mul_comm_v2	51.833904
smt2	cryptominisat	comba-cs	g-only	bf16_mul_comm_v2	51.592001
smt2	cryptominisat	comba-cs	ripple	bf16_mul_comm_v2	53.483698
smt2	cryptominisat	dadda	brent-kung	bf16_mul_comm_v2	64.772100
smt2	cryptominisat	dadda	g-only	bf16_mul_comm_v2	64.527674
smt2	cryptominisat	dadda	ripple	bf16_mul_comm_v2	66.445985
