encoding	benchmark	run	time	result	conflicts
sortnet	strength_16_15	1	.009393	unsat	0
sortnet	strength_16_15	2	.009325	unsat	0
sortnet	strength_16_15	3	.009293	unsat	0
sortnet	strength_16_15	4	.009437	unsat	0
sortnet	strength_16_15	5	.009395	unsat	0
shift-add	strength_16_31	1	.005278	unsat	0
shift-add	strength_16_31	2	.005295	unsat	0
shift-add	strength_16_31	3	.005272	unsat	0
shift-add	strength_16_31	4	.005212	unsat	0
shift-add	strength_16_31	5	.005234	unsat	0
comba-cs	strength_16_31	1	.005198	unsat	0
comba-cs	strength_16_31	2	.005274	unsat	0
comba-cs	strength_16_31	3	.005180	unsat	0
comba-cs	strength_16_31	4	.005316	unsat	0
comba-cs	strength_16_31	5	.005224	unsat	0
dadda	strength_16_31	1	.005353	unsat	0
dadda	strength_16_31	2	.005195	unsat	0
dadda	strength_16_31	3	.005260	unsat	0
dadda	strength_16_31	4	.005145	unsat	0
dadda	strength_16_31	5	.005274	unsat	0
booth	strength_16_31	1	.004986	unsat	0
booth	strength_16_31	2	.005107	unsat	0
booth	strength_16_31	3	.005022	unsat	0
booth	strength_16_31	4	.005019	unsat	0
booth	strength_16_31	5	.005024	unsat	0
block4	strength_16_31	1	.005365	unsat	0
block4	strength_16_31	2	.005288	unsat	0
block4	strength_16_31	3	.005363	unsat	0
block4	strength_16_31	4	.005314	unsat	0
block4	strength_16_31	5	.005369	unsat	0
sortnet	strength_16_31	1	.011433	unsat	0
sortnet	strength_16_31	2	.011341	unsat	0
sortnet	strength_16_31	3	.011329	unsat	0
sortnet	strength_16_31	4	.011393	unsat	0
sortnet	strength_16_31	5	.011404	unsat	0
shift-add	strength_32_15	1	.005721	unsat	0
shift-add	strength_32_15	2	.005657	unsat	0
shift-add	strength_32_15	3	.005680	unsat	0
shift-add	strength_32_15	4	.005672	unsat	0
shift-add	strength_32_15	5	.005659	unsat	0
comba-cs	strength_32_15	1	.005681	unsat	0
comba-cs	strength_32_15	2	.005609	unsat	0
comba-cs	strength_32_15	3	.005626	unsat	0
comba-cs	strength_32_15	4	.005723	unsat	0
comba-cs	strength_32_15	5	.005674	unsat	0
dadda	strength_32_15	1	.005681	unsat	0
dadda	strength_32_15	2	.005666	unsat	0
dadda	strength_32_15	3	.005627	unsat	0
dadda	strength_32_15	4	.005599	unsat	0
dadda	strength_32_15	5	.005664	unsat	0
booth	strength_32_15	1	.005496	unsat	0
booth	strength_32_15	2	.005547	unsat	0
booth	strength_32_15	3	.005460	unsat	0
booth	strength_32_15	4	.005562	unsat	0
booth	strength_32_15	5	.005432	unsat	0
block4	strength_32_15	1	.006026	unsat	0
block4	strength_32_15	2	.006012	unsat	0
block4	strength_32_15	3	.006003	unsat	0
block4	strength_32_15	4	.006030	unsat	0
block4	strength_32_15	5	.006144	unsat	0
sortnet	strength_32_15	1	.022741	unsat	0
sortnet	strength_32_15	2	.022579	unsat	0
sortnet	strength_32_15	3	.023023	unsat	0
sortnet	strength_32_15	4	.022950	unsat	0
sortnet	strength_32_15	5	.022703	unsat	0
shift-add	strength_chain_16	1	1.077239	unsat	39757
shift-add	strength_chain_16	2	1.078949	unsat	39757
shift-add	strength_chain_16	3	1.078968	unsat	39757
shift-add	strength_chain_16	4	1.078391	unsat	39757
shift-add	strength_chain_16	5	1.078103	unsat	39757
comba-cs	strength_chain_16	1	1.502721	unsat	43804
comba-cs	strength_chain_16	2	1.498338	unsat	43804
comba-cs	strength_chain_16	3	1.497093	unsat	43804
comba-cs	strength_chain_16	4	1.496446	unsat	43804
comba-cs	strength_chain_16	5	1.498967	unsat	43804
dadda	strength_chain_16	1	.722871	unsat	29188
dadda	strength_chain_16	2	.723028	unsat	29188
dadda	strength_chain_16	3	.721973	unsat	29188
dadda	strength_chain_16	4	.721899	unsat	29188
dadda	strength_chain_16	5	.722262	unsat	29188
booth	strength_chain_16	1	.063631	unsat	4071
booth	strength_chain_16	2	.063032	unsat	4071
booth	strength_chain_16	3	.063212	unsat	4071
booth	strength_chain_16	4	.063051	unsat	4071
booth	strength_chain_16	5	.063086	unsat	4071
block4	strength_chain_16	1	.409330	unsat	18590
block4	strength_chain_16	2	.409070	unsat	18590
block4	strength_chain_16	3	.410274	unsat	18590
block4	strength_chain_16	4	.409417	unsat	18590
block4	strength_chain_16	5	.409100	unsat	18590
sortnet	strength_chain_16	1	6.727634	unsat	34985
sortnet	strength_chain_16	2	6.730212	unsat	34985
sortnet	strength_chain_16	3	6.706785	unsat	34985
sortnet	strength_chain_16	4	6.710594	unsat	34985
sortnet	strength_chain_16	5	6.733223	unsat	34985
shift-add	comm_8	1	.004930	unsat	0
shift-add	comm_8	2	.004814	unsat	0
shift-add	comm_8	3	.004736	unsat	0
shift-add	comm_8	4	.004754	unsat	0
shift-add	comm_8	5	.004680	unsat	0
comba-cs	comm_8	1	.004668	unsat	0
comba-cs	comm_8	2	.004726	unsat	0
comba-cs	comm_8	3	.004675	unsat	0
comba-cs	comm_8	4	.004670	unsat	0
comba-cs	comm_8	5	.004631	unsat	0
dadda	comm_8	1	.004732	unsat	0
dadda	comm_8	2	.004701	unsat	0
dadda	comm_8	3	.004626	unsat	0
dadda	comm_8	4	.004707	unsat	0
dadda	comm_8	5	.004681	unsat	0
booth	comm_8	1	.004611	unsat	0
booth	comm_8	2	.004595	unsat	0
booth	comm_8	3	.004599	unsat	0
booth	comm_8	4	.004704	unsat	0
booth	comm_8	5	.004668	unsat	0
block4	comm_8	1	.004647	unsat	0
block4	comm_8	2	.004686	unsat	0
block4	comm_8	3	.004656	unsat	0
block4	comm_8	4	.004695	unsat	0
block4	comm_8	5	.004656	unsat	0
sortnet	comm_8	1	.004608	unsat	0
sortnet	comm_8	2	.004702	unsat	0
sortnet	comm_8	3	.004684	unsat	0
sortnet	comm_8	4	.004691	unsat	0
sortnet	comm_8	5	.004657	unsat	0
shift-add	comm_10	1	.004683	unsat	0
shift-add	comm_10	2	.004626	unsat	0
shift-add	comm_10	3	.004620	unsat	0
shift-add	comm_10	4	.004610	unsat	0
shift-add	comm_10	5	.004620	unsat	0
comba-cs	comm_10	1	.004733	unsat	0
comba-cs	comm_10	2	.004684	unsat	0
comba-cs	comm_10	3	.004663	unsat	0
comba-cs	comm_10	4	.004608	unsat	0
comba-cs	comm_10	5	.004619	unsat	0
dadda	comm_10	1	.004834	unsat	0
dadda	comm_10	2	.004615	unsat	0
dadda	comm_10	3	.004697	unsat	0
dadda	comm_10	4	.004671	unsat	0
dadda	comm_10	5	.004742	unsat	0
booth	comm_10	1	.004602	unsat	0
booth	comm_10	2	.004643	unsat	0
booth	comm_10	3	.004632	unsat	0
booth	comm_10	4	.004680	unsat	0
booth	comm_10	5	.004681	unsat	0
block4	comm_10	1	.004607	unsat	0
block4	comm_10	2	.004640	unsat	0
block4	comm_10	3	.004623	unsat	0
block4	comm_10	4	.004690	unsat	0
block4	comm_10	5	.004632	unsat	0
sortnet	comm_10	1	.004588	unsat	0
